Number of Spheres: 1964
Domain Length (x,y,z):  1, 1, 1
Media porosity: 0.369
log(r) Normal with mean -3.06869, variance 0
Mean coordination No. 12.8267
0.302584 0.357964 0.0042896 0.0464818
0.61053 0.81386 0.605842 0.0464818
0.180804 0.257127 0.427677 0.0464818
0.0397757 0.217854 0.572207 0.0464818
0.830163 0.220825 0.096208 0.0464818
0.778783 0.762429 0.555912 0.0464818
0.812542 0.00519583 0.817695 0.0464818
0.169013 0.89237 0.734946 0.0464818
0.331024 0.628526 0.543436 0.0464818
0.533845 0.848071 0.0436117 0.0464818
0.972041 0.722212 0.379959 0.0464818
0.137448 0.961882 0.472342 0.0464818
0.00240001 0.262417 0.363993 0.0464818
0.199194 0.777158 0.0987044 0.0464818
0.94638 0.805311 0.412796 0.0464818
0.424408 0.428016 0.196468 0.0464818
0.938956 0.924361 0.511243 0.0464818
0.186693 0.937739 0.649729 0.0464818
0.294097 0.190222 0.00274028 0.0464818
0.794798 0.466593 0.862904 0.0464818
0.228129 0.139395 0.430825 0.0464818
0.704592 0.14179 0.647271 0.0464818
0.857499 0.142015 0.544076 0.0464818
0.630792 0.897914 0.281308 0.0464818
0.654925 0.40038 0.597493 0.0464818
0.58331 0.789288 0.746526 0.0464818
0.346743 0.16184 0.92381 0.0464818
0.0432307 0.243522 0.785733 0.0464818
0.0435881 0.137689 0.191057 0.0464818
0.83465 0.819882 0.603032 0.0464818
0.706838 0.160166 0.278593 0.0464818
0.410322 0.790072 0.975377 0.0464818
0.251592 0.0376862 0.05903 0.0464818
0.844651 0.220714 0.197209 0.0464818
0.886479 0.537646 0.50347 0.0464818
0.647068 0.254775 0.948796 0.0464818
0.905746 0.362404 0.467649 0.0464818
0.356507 0.685732 0.470539 0.0464818
0.211145 0.642762 0.138738 0.0464818
0.611827 0.206106 0.0883559 0.0464818
0.722297 0.745234 0.00337374 0.0464818
0.742214 0.369015 0.674985 0.0464818
0.899673 0.353261 0.766764 0.0464818
0.887312 0.0204337 0.764595 0.0464818
0.736132 0.709229 0.907443 0.0464818
0.445468 0.880396 0.659586 0.0464818
0.54498 0.997216 0.951825 0.0464818
0.0294054 0.943766 0.520443 0.0464818
0.185827 0.0209184 0.331847 0.0464818
0.844166 0.811395 0.510947 0.0464818
0.322257 0.0238678 0.532059 0.0464818
0.0716924 0.62644 0.83922 0.0464818
0.948159 0.141559 0.86771 0.0464818
0.160741 0.538741 0.0477591 0.0464818
0.756179 0.0883386 0.310974 0.0464818
0.712032 0.188411 0.534859 0.0464818
0.232376 0.207743 0.261414 0.0464818
0.439583 0.850883 0.853564 0.0464818
0.652242 0.540984 0.289783 0.0464818
0.782955 0.448056 0.49334 0.0464818
0.254763 0.0574682 0.477673 0.0464818
0.822698 0.714442 0.479898 0.0464818
0.190534 0.621284 0.0170782 0.0464818
0.937704 0.184679 0.563806 0.0464818
0.689471 0.45639 0.279779 0.0464818
0.304144 0.450007 0.984558 0.0464818
0.540278 0.546108 0.407723 0.0464818
0.265917 0.717709 0.133705 0.0464818
0.0933277 0.914881 0.685883 0.0464818
0.506218 0.583305 0.252808 0.0464818
0.742499 0.620874 0.791795 0.0464818
0.0171099 0.835898 0.576855 0.0464818
0.601852 0.421276 0.108611 0.0464818
0.0286103 0.474161 0.161302 0.0464818
0.275731 0.603897 0.681138 0.0464818
0.05119 0.934478 0.336573 0.0464818
0.954612 0.116988 0.991057 0.0464818
0.876642 0.510376 0.868077 0.0464818
0.29543 0.57139 0.898936 0.0464818
0.296182 0.22097 0.335396 0.0464818
0.42984 0.56685 0.950384 0.0464818
0.96605 0.178662 0.3465 0.0464818
0.145187 0.467129 0.955094 0.0464818
0.222151 0.364925 0.52004 0.0464818
0.663763 0.883033 0.701899 0.0464818
0.0492758 0.65995 0.0848283 0.0464818
0.78475 0.462968 0.264923 0.0464818
0.610082 0.144282 0.40201 0.0464818
0.906036 0.902094 0.738194 0.0464818
0.467042 0.824168 0.49352 0.0464818
0.910976 0.773034 0.331686 0.0464818
0.692536 0.857297 0.61733 0.0464818
0.0970633 0.164632 0.342476 0.0464818
0.276813 0.961976 0.787885 0.0464818
0.890078 0.770071 0.858076 0.0464818
0.457041 0.175983 0.870805 0.0464818
0.789512 0.0911806 0.506183 0.0464818
0.539784 0.473254 0.264365 0.0464818
0.100225 0.936734 0.781458 0.0464818
0.56308 0.523884 0.495064 0.0464818
0.668341 0.644025 0.842853 0.0464818
0.502958 0.393981 0.232714 0.0464818
0.984098 0.365921 0.600856 0.0464818
0.643882 0.671418 0.493639 0.0464818
0.00268487 0.954513 0.0512633 0.0464818
0.956421 0.921469 0.132574 0.0464818
0.729885 0.565263 0.966165 0.0464818
0.649396 0.201555 0.602284 0.0464818
0.81408 0.798429 0.23659 0.0464818
0.739526 0.722447 0.640474 0.0464818
0.422687 0.297993 0.381367 0.0464818
0.713446 0.0976966 0.453139 0.0464818
0.770827 0.232404 0.840293 0.0464818
0.243255 0.278403 0.493169 0.0464818
0.697653 0.334208 0.378514 0.0464818
0.166236 0.911096 0.894706 0.0464818
0.623998 0.768774 0.185234 0.0464818
0.281376 0.170825 0.858322 0.0464818
0.485922 0.0660902 0.0436969 0.0464818
0.917817 0.865587 0.337111 0.0464818
0.0684428 0.223991 0.671221 0.0464818
0.383915 0.106506 0.799725 0.0464818
0.741984 0.0357194 0.145482 0.0464818
0.861198 0.296598 0.51589 0.0464818
0.823378 0.0236653 0.0498137 0.0464818
0.574825 0.808598 0.117128 0.0464818
0.462267 0.401775 0.904206 0.0464818
0.352476 0.588241 0.0393637 0.0464818
0.656249 0.56274 0.179747 0.0464818
0.559746 0.286492 0.945459 0.0464818
0.830026 0.37704 0.645541 0.0464818
0.188267 0.474059 0.771961 0.0464818
0.687734 0.364108 0.290882 0.0464818
0.129646 0.339904 0.615313 0.0464818
0.680391 0.975699 0.424668 0.0464818
0.795361 0.800967 0.0192971 0.0464818
0.0684572 0.762626 0.706321 0.0464818
0.370419 0.26674 0.128591 0.0464818
0.418764 0.795125 0.321681 0.0464818
0.311281 0.995788 0.00137607 0.0464818
0.162997 0.0765936 0.0654859 0.0464818
0.778356 0.575249 0.291028 0.0464818
0.959458 0.400993 0.197516 0.0464818
0.700845 0.173225 0.855869 0.0464818
0.0731737 0.302495 0.0511657 0.0464818
0.549155 0.142288 0.207043 0.0464818
0.351261 0.565067 0.718949 0.0464818
0.336002 0.0887559 0.230052 0.0464818
0.382595 0.339819 0.454068 0.0464818
0.506984 0.867425 0.791711 0.0464818
0.818886 0.8692 0.880014 0.0464818
0.0462075 0.35941 0.755547 0.0464818
0.32395 0.931753 0.544481 0.0464818
0.874959 0.605973 0.419891 0.0464818
0.70726 0.0897949 0.549483 0.0464818
0.500118 0.930749 0.603728 0.0464818
0.0902775 0.267815 0.884315 0.0464818
0.234462 0.239769 0.748985 0.0464818
0.000658251 0.558733 0.988676 0.0464818
0.0109794 0.0225147 0.473711 0.0464818
0.159504 0.467969 0.308408 0.0464818
0.796988 0.972857 0.25095 0.0464818
0.433489 0.145846 0.210234 0.0464818
0.587945 0.806182 0.980677 0.0464818
0.301183 0.674462 0.626229 0.0464818
0.78703 0.405753 0.0454084 0.0464818
0.28503 0.601341 0.448817 0.0464818
0.832254 0.72911 0.308976 0.0464818
0.224091 0.852639 0.648382 0.0464818
0.466654 0.905943 0.449306 0.0464818
0.925302 0.139929 0.777614 0.0464818
0.379955 0.0767239 0.149024 0.0464818
